complaint_id,complaint_officer_number,officer_days_on_force_at_incident,allegation_record_identity,fado_type,allegation,victim_age_range_at_incident,victim_gender,victim_race_legacy,investigator_recommendation,ccrb_allegation_disposition,tax_id,officer_rank_at_incident,officer_command_at_incident,victim_race_ethnicity,nypd_allegation_disposition,officer_years_on_force_at_incident
200410058,1,0,372675,Discourtesy,Word,24 < Age <= 29,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200818734,1,0,609527,Force,Physical force,17 < Age <= 20,Male/Man,White,Complaint Withdrawn,Complaint Withdrawn,0,Unknown,043 PCT,Unknown,Unknown,0.0
202100114,1,-36807,1114964,Force,Physical force,0,Female/Woman,Black,Complainant Unavailable,Complainant Unavailable,926642.0,Detective,067 PCT,Unknown,Unknown,-100.84
200615251,4,5249,488717,Force,Gun fired,29 < Age <= 34,Male/Man,Black,Exonerated,Exonerated,901923.0,Police Officer,103 PCT,Unknown,Unknown,14.38
202205836,1,0,1212485,Abuse of Authority,Vehicle stop,24 < Age <= 29,Male/Man,Unknown,Within NYPD Guidelines,Within NYPD Guidelines,0,Unknown,Unknown,Unknown,Unknown,0.0
201100809,1,1828,746843,Abuse of Authority,Threat of force (verbal or physical),44 < Age <= 49,Female/Woman,Black,Unsubstantiated,Unsubstantiated,948449.0,Police Officer,073 PCT,Unknown,Unknown,5.01
201906280,1,0,1064782,Force,Physical force,20 < Age <= 24,Male/Man,Hispanic,Closed - Pending Litigation,Closed - Pending Litigation,0,Unknown,083 PCT,Unknown,Unknown,0.0
201701195,2,4415,977573,Abuse of Authority,Refusal to provide name/shield number,34 < Age <= 39,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,936416.0,Detective,NARCBBS,Unknown,Unknown,12.1
202103900,5,3459,1180039,Abuse of Authority,Refusal to provide name,34 < Age <= 39,Female/Woman,Unknown,Unfounded,Unfounded,952073.0,Police Officer,034 PCT,Unknown,Unknown,9.48
202107397,4,3619,1160075,Abuse of Authority,Stop,09 < Age <= 14,Female/Woman,Black,Exonerated,Within NYPD Guidelines,951832.0,Sergeant,WARRSEC,Unknown,Unknown,9.92
201410161,3,6134,908960,Abuse of Authority,Premises entered and/or searched,0,Unknown,Unknown,Unsubstantiated,Unsubstantiated,920865.0,Detective,DB BX,Unknown,Unknown,16.81
200712248,1,768,522638,Force,Physical force,39 < Age <= 44,Female/Woman,Unknown,Complainant Uncooperative,Complainant Uncooperative,939617.0,Police Officer,047 PCT,Unknown,Unknown,2.1
201705340,2,0,1003169,Abuse of Authority,Frisk,44 < Age <= 49,Male/Man,Other Race,Officer(s) Unidentified,Officer(s) Unidentified,0,Unknown,Unknown,Unknown,Unknown,0.0
200815251,3,0,613296,Abuse of Authority,Property damaged,0,Unknown,Unknown,Officer(s) Unidentified,Officer(s) Unidentified,0,Unknown,Unknown,Unknown,Unknown,0.0
201214307,1,5970,808396,Force,Pepper spray,24 < Age <= 29,Male/Man,Black,Exonerated,Exonerated,918433.0,Sergeant,INT CIS,Unknown,Unknown,16.36
202006221,2,6261,1124761,Abuse of Authority,Search of recording device,24 < Age <= 29,Male/Man,Other Race,Unsubstantiated,Unsubstantiated,932461.0,Sergeant,MTS PCT,Unknown,Unknown,17.15
200513811,1,2315,426739,Abuse of Authority,Property damaged,29 < Age <= 34,Male/Man,Black,Unfounded,Unfounded,924338.0,Police Officer,105 PCT,Unknown,Unknown,6.34
200605291,1,0,483807,Abuse of Authority,Question and/or stop,17 < Age <= 20,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
202500598,4,450,1305069,Force,Physical force,20 < Age <= 24,Male/Man,Unknown,Unfounded,Unfounded,977870.0,Police Officer,TD 4,Puerto Rican (E),Unknown,1.23
200604627,1,0,490149,Abuse of Authority,Refusal to provide name/shield number,34 < Age <= 39,Female/Woman,Black,Officer(s) Unidentified,Officer(s) Unidentified,0,Unknown,Unknown,Unknown,Unknown,0.0
202500048,4,0,1303206,Force,Physical force,44 < Age <= 49,Female/Woman,Unknown,Closed - Pending Litigation,Closed - Pending Litigation,0,Unknown,Unknown,Black and/or African American (R),Unknown,0.0
200106657,1,2922,276757,Force,Hit against inanimate object,0,Unknown,Unknown,Complaint Withdrawn,Complaint Withdrawn,903648.0,Police Officer,077 PCT,Unknown,Unknown,8.01
201807211,1,1879,1030951,Abuse of Authority,Frisk,39 < Age <= 44,Male/Man,Black,Exonerated,Exonerated,955373.0,Police Officer,075 PCT,Unknown,Unknown,5.15
200601762,2,0,439424,Force,Physical force,20 < Age <= 24,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
202202529,2,1921,1190688,Discourtesy,Word,29 < Age <= 34,Male/Man,White,Substantiated,Substantiated (Command Discipline A),963237.0,Police Officer,094 PCT,Unknown,No Disciplinary Action-DUP,5.26
202310357,1,0,1250667,Offensive Language,Other,34 < Age <= 39,Female/Woman,Unknown,Complaint Withdrawn,Complaint Withdrawn,0,Unknown,Unknown,Other (R),Unknown,0.0
201904581,2,5766,1111488,Abuse of Authority,Entry of Premises,29 < Age <= 34,Male/Man,Black,Substantiated,Substantiated (Charges),932526.0,Police Officer,046 PCT,Unknown,APU Dismissed,15.8
202408942,2,0,1290287,Abuse of Authority,Refusal to provide shield number,0,Unknown,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Decline to Answer (NA),Unknown,0.0
201310853,1,0,854947,Offensive Language,Other,14 < Age <= 17,Female/Woman,Black,Alleged Victim Uncooperative,Alleged Victim Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
202100172,1,0,1115230,Abuse of Authority,Search (of person),17 < Age <= 20,Female/Woman,Hispanic,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,050 PCT,Unknown,Unknown,0.0
200102507,1,1453,273768,Abuse of Authority,Vehicle search,20 < Age <= 24,Male/Man,Black,Exonerated,Exonerated,919050.0,Police Officer,MTS PCT,Unknown,Unknown,3.98
201707345,1,9192,997915,Force,Physical force,39 < Age <= 44,Male/Man,Asian,Exonerated,Exonerated,902104.0,Lieutenant,INT UOU,Unknown,Unknown,25.18
200410230,2,2976,373562,Force,Physical force,29 < Age <= 34,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,918129.0,Police Officer,083 PCT,Unknown,Unknown,8.15
201804257,2,10062,1036785,Abuse of Authority,Other,0,Unknown,Unknown,Alleged Victim Uncooperative,Alleged Victim Uncooperative,913673.0,Detective,PBMN,Unknown,Unknown,27.57
200405759,1,0,375215,Abuse of Authority,Frisk and/or search,34 < Age <= 39,Male/Man,White,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200501215,1,947,394255,Abuse of Authority,Question and/or stop,20 < Age <= 24,Male/Man,Hispanic,Exonerated,Exonerated,931089.0,Police Officer,033 PCT,Unknown,Unknown,2.59
202304986,1,2237,1271662,Discourtesy,Word,24 < Age <= 29,Female/Woman,Unknown,Substantiated,Substantiated (Command Discipline A),963564.0,Police Officer,075 PCT,Black and/or African American (R),APU - Decision Pending,6.13
200606105,1,0,455292,Abuse of Authority,Strip-searched,0,Unknown,Unknown,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200203759,1,1374,293787,Abuse of Authority,Premises entered and/or searched,0,Unknown,Unknown,Complainant Uncooperative,Complainant Uncooperative,922067.0,Police Officer,069 PCT,Unknown,Unknown,3.76
200401620,2,0,367819,Abuse of Authority,Threat of arrest,34 < Age <= 39,Female/Woman,Hispanic,Exonerated,Exonerated,0,Unknown,102 PCT,Unknown,Unknown,0.0
201505433,4,4016,933035,Abuse of Authority,Refusal to obtain medical treatment,24 < Age <= 29,Male/Man,Black,Unsubstantiated,Unsubstantiated,934440.0,Police Officer,040 PCT,Unknown,Unknown,11.0
201505458,1,3439,922576,Abuse of Authority,Search (of person),20 < Age <= 24,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,941024.0,Police Officer,046 PCT,Unknown,Unknown,9.42
200002228,1,0,242506,Force,Physical force,09 < Age <= 14,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201803411,1,0,1019923,Abuse of Authority,Search (of person),24 < Age <= 29,Male/Man,Black,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201013691,1,4413,745974,Abuse of Authority,Premises entered and/or searched,0,Unknown,Unknown,Exonerated,Exonerated,923047.0,Sergeant,INT CIS,Unknown,Unknown,12.09
200406440,1,0,365284,Abuse of Authority,Other,39 < Age <= 44,Male/Man,Hispanic,Complainant Uncooperative,Complainant Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
200409701,1,8283,371640,Abuse of Authority,Threat of arrest,49 < Age <= 54,Female/Woman,Black,Exonerated,Exonerated,878365.0,Detective,010 DET,Unknown,Unknown,22.69
202402893,1,0,1269570,Abuse of Authority,Threat of arrest,49 < Age <= 54,Male/Man,Unknown,Officer(s) Unidentified,Officer(s) Unidentified,0,Unknown,Unknown,Black and/or African American (R),Unknown,0.0
200910501,1,0,641992,Force,Physical force,0,Male/Man,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
202406710,8,6925,1284326,Abuse of Authority,Improper use of body-worn camera,0,Male/Man,Unknown,Miscellaneous - Subject Retired,Miscellaneous - Subject Retired,939173.0,Detective,081 DET,Unknown,Unknown,18.97
201105969,1,0,741630,Discourtesy,Word,20 < Age <= 24,Male/Man,Hispanic,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
202311528,1,0,1255029,Force,Physical force,69 < Age <= 74,Male/Man,Unknown,Closed - Pending Litigation,Closed - Pending Litigation,0,Unknown,Unknown,White/Caucasian (R),Unknown,0.0
200103952,2,6504,287612,Abuse of Authority,Premises entered and/or searched,0,Unknown,Unknown,Exonerated,Exonerated,880964.0,Detective,063 DET,Unknown,Unknown,17.82
200204612,1,0,297856,Abuse of Authority,Refusal to provide name/shield number,0,Unknown,Unknown,Complainant Unavailable,Complainant Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
201114067,1,0,765743,Force,Physical force,14 < Age <= 17,Female/Woman,Black,Alleged Victim Unavailable,Alleged Victim Unavailable,0,Unknown,Unknown,Unknown,Unknown,0.0
201904750,3,4754,1090885,Abuse of Authority,Frisk,17 < Age <= 20,Male/Man,Black,Substantiated,Unsubstantiated,940269.0,Sergeant,023 PCT,Unknown,Unknown,13.02
200511356,1,3349,416360,Force,Physical force,14 < Age <= 17,Male/Man,Black,Alleged Victim Uncooperative,Alleged Victim Uncooperative,918086.0,Sergeant,044 PCT,Unknown,Unknown,9.18
202205836,2,2715,1195473,Abuse of Authority,Question,34 < Age <= 39,Female/Woman,Black,Within NYPD Guidelines,Within NYPD Guidelines,956724.0,Police Officer,105 DET,Unknown,Unknown,7.44
200607970,1,0,457456,Abuse of Authority,Threat of arrest,09 < Age <= 14,Male/Man,Black,Alleged Victim Uncooperative,Alleged Victim Uncooperative,0,Unknown,Unknown,Unknown,Unknown,0.0
201906918,1,1298,1081898,Abuse of Authority,Threat of force (verbal or physical),29 < Age <= 34,Male/Man,Hispanic,Complaint Withdrawn,Complaint Withdrawn,960563.0,Police Officer,114 PCT,Unknown,Unknown,3.56
